theta_s_deg,theta_p_deg,M_hub_sl_Nm,M_hub_10k_Nm,T_servo_sl_Nm,T_servo_10k_Nm
17.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
18.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
18.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
19.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
19.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
20.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
20.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
21.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
21.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
22.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
22.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
23.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
23.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
24.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
24.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
25.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
25.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
26.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
26.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
27.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
27.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
28.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
28.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
29.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
29.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
30.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
